"filename", "language", "HTML", "JavaScript", "JSON", "comment", "blank", "total"
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\adminForm.html", "HTML", 225, 0, 0, 8, 39, 272
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\adminLogs.html", "HTML", 317, 0, 0, 14, 56, 387
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\adminUserManagement.html", "HTML", 500, 0, 0, 5, 80, 585
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\chsd-mis-79b43ccc3955.json", "JSON", 0, 0, 13, 0, 1, 14
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\customClaims.js", "JavaScript", 0, 54, 0, 5, 14, 73
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\eventListeners.js", "JavaScript", 0, 19, 0, 3, 4, 26
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\firebaseconfig.js", "JavaScript", 0, 16, 0, 3, 4, 23
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\userManagement.js", "JavaScript", 0, 29, 0, 6, 9, 44
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\InformalSettlersApplication.html", "HTML", 1962, 0, 0, 42, 314, 2318
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\InformalSettlersReport.html", "HTML", 581, 0, 0, 14, 98, 693
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\InformalSettlersUserManager.html", "HTML", 121, 0, 0, 7, 22, 150
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\adminDashboardInformalSettlers.html", "HTML", 383, 0, 0, 8, 39, 430
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\adminISNotif.html", "HTML", 202, 0, 0, 5, 37, 244
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\followup.html", "HTML", 225, 0, 0, 6, 39, 270
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\nav5.html", "HTML", 47, 0, 0, 5, 6, 58
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\nav5.js", "JavaScript", 0, 8, 0, 0, 0, 8
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PCLogin.html", "HTML", 38, 0, 0, 0, 3, 41
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\PCsideBar.html", "HTML", 24, 0, 0, 0, 3, 27
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminBuildingPermit.html", "HTML", 2498, 0, 0, 60, 442, 3000
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminCertofElec.html", "HTML", 1568, 0, 0, 45, 272, 1885
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminCertofOcc.html", "HTML", 1999, 0, 0, 51, 364, 2414
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminDashboardP&C.html", "HTML", 463, 0, 0, 18, 50, 531
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminPCArchive.html", "HTML", 399, 0, 0, 9, 49, 457
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminPCForms.html", "HTML", 198, 0, 0, 7, 37, 242
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminPCLogs.html", "HTML", 225, 0, 0, 7, 45, 277
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminPCNotif.html", "HTML", 319, 0, 0, 11, 42, 372
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminPCPayments.html", "HTML", 95, 0, 0, 1, 7, 103
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminPCUserManager.html", "HTML", 132, 0, 0, 6, 24, 162
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\buildingAppForm.html", "HTML", 64, 0, 0, 4, 9, 77
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\nav4.html", "HTML", 83, 0, 0, 7, 4, 94
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\nav4.js", "JavaScript", 0, 8, 0, 0, 0, 8
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\notificationBadge.js", "JavaScript", 0, 70, 0, 12, 17, 99
